Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16 00:00:00-04:00,134.00501978335495,142.95464658961282,129.2191262196637,129.6211395263672,87905900,0.0,0.0
2020-03-17 00:00:00-04:00,134.00501498499003,141.18385507347162,129.21912159266896,140.29368591308594,81059800,0.0,0.0
2020-03-18 00:00:00-04:00,132.09064047139663,139.74806890452106,129.23825246956574,134.3878631591797,81593200,0.0,0.0
2020-03-19 00:00:00-04:00,136.6563968867101,143.7203652337005,133.0478293675916,136.59896850585938,85922700,0.0,0.0
2020-03-20 00:00:00-04:00,139.7480961231457,140.80099857992752,130.0423042779866,131.468505859375,84866200,0.0,0.0
2020-03-23 00:00:00-04:00,131.14304312122096,134.55061142383002,126.84532027961379,130.1571502685547,78975200,0.0,0.0
2020-03-24 00:00:00-04:00,137.59443780402628,143.1939390281192,135.22063872307237,141.98788452148438,82516700,0.0,0.0
2020-03-25 00:00:00-04:00,142.53349896031997,147.72140631630424,138.25490854547172,140.6287078857422,75638200,0.0,0.0
2020-03-26 00:00:00-04:00,142.04531652432053,149.9516221166955,142.0166023310872,149.4251708984375,64568100,0.0,0.0
2020-03-27 00:00:00-04:00,145.2518769737937,148.25741769895353,142.81106821229966,143.28965759277344,57042300,0.0,0.0
2020-03-30 00:00:00-04:00,145.9123715631899,153.72295584050482,143.58641895907073,153.36878967285156,63420300,0.0,0.0
2020-03-31 00:00:00-04:00,152.5742694137717,157.72389517204311,149.8558855807532,150.95664978027344,77927200,0.0,0.0
2020-04-01 00:00:00-04:00,146.44829320950285,150.99489054770635,144.36165133644806,145.59640502929688,57969900,0.0,0.0
2020-04-02 00:00:00-04:00,145.35715532805682,148.82213748544504,143.92138730411529,148.61155700683594,49630700,0.0,0.0
2020-04-03 00:00:00-04:00,148.45843424740835,150.64080069189777,145.67304049930848,147.24281311035156,41243300,0.0,0.0
2020-04-06 00:00:00-04:00,153.45490035648226,159.37025787232824,150.83222538941226,158.19293212890625,67111700,0.0,0.0
2020-04-07 00:00:00-04:00,162.32796396695244,162.72041081597885,156.2690198586282,156.4891815185547,62769000,0.0,0.0
2020-04-08 00:00:00-04:00,158.57583015210966,159.53300907348805,156.49875364536553,158.0589599609375,48318200,0.0,0.0
2020-04-09 00:00:00-04:00,159.23624056503343,160.20298574217838,156.33599042821146,158.0684814453125,51385100,0.0,0.0
2020-04-13 00:00:00-04:00,157.31232177165464,158.48008092873175,155.35010255817997,158.42263793945312,41905300,0.0,0.0
2020-04-14 00:00:00-04:00,161.7631955365977,166.3097942277151,160.8060168647835,166.26193237304688,52874300,0.0,0.0
2020-04-15 00:00:00-04:00,163.86897788274868,166.13750115848333,161.99291595443174,164.51986694335938,40940800,0.0,0.0
2020-04-16 00:00:00-04:00,166.83626285245634,169.68865150302491,165.49620380864962,169.45892333984375,50479600,0.0,0.0
2020-04-17 00:00:00-04:00,171.81358822458955,172.29217760683073,168.33902463579403,170.95213317871094,52765600,0.0,0.0
2020-04-20 00:00:00-04:00,169.06649845044674,171.09571286072054,167.49672578100314,167.563720703125,36669600,0.0,0.0
2020-04-21 00:00:00-04:00,166.07052729833796,166.2332459470786,158.99697631635922,160.63375854492188,56203700,0.0,0.0
2020-04-22 00:00:00-04:00,164.05088030656984,166.54911765561974,163.5052959642249,166.0896759033203,34620200,0.0,0.0
2020-04-23 00:00:00-04:00,166.65438768105864,167.56370454484113,163.59141869523893,164.07957458496094,32790800,0.0,0.0
2020-04-24 00:00:00-04:00,164.69216602575494,167.08511279378087,163.39998353425372,167.07554626464844,34277600,0.0,0.0
2020-04-27 00:00:00-04:00,169.028212761145,169.32493587330342,165.8791007124243,166.59698486328125,33194400,0.0,0.0
2020-04-28 00:00:00-04:00,168.07100491727823,168.14758096614784,162.13649988106928,162.53851318359375,34392700,0.0,0.0
2020-04-29 00:00:00-04:00,165.8024852010101,170.07149375669667,164.51986932861183,169.8321990966797,51286600,0.0,0.0
2020-04-30 00:00:00-04:00,172.2922061827511,172.6750719098896,168.68363755263613,171.53604125976562,53875900,0.0,0.0
2020-05-01 00:00:00-04:00,168.27203714649573,170.99042145235236,166.55867890340767,167.09471130371094,39370500,0.0,0.0
2020-05-04 00:00:00-04:00,167.018090540101,171.3349605450572,166.35763500337288,171.1818084716797,30372900,0.0,0.0
2020-05-05 00:00:00-04:00,172.88561836411026,175.78586876142296,172.19644850678958,173.01962280273438,36839200,0.0,0.0
