Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16 00:00:00-04:00,58.716182706946256,62.87327141626091,58.242959402399286,58.77928161621094,322423600,0.0,0.0
2020-03-17 00:00:00-04:00,60.06549231026202,62.5165485741774,57.854685943845006,61.363826751708984,324056000,0.0,0.0
2020-03-18 00:00:00-04:00,58.18714954728448,60.66975488014331,57.54404792376218,59.86163330078125,300233600,0.0,0.0
2020-03-19 00:00:00-04:00,60.036357886139776,61.35895770048267,58.87635255804571,59.4029655456543,271857200,0.0,0.0
2020-03-20 00:00:00-04:00,59.98539913252844,61.11385881136198,55.330817248448476,55.63174057006836,401693200,0.0,0.0
2020-03-23 00:00:00-04:00,55.350234801464175,55.45215955190559,51.595989830091725,54.449893951416016,336752800,0.0,0.0
2020-03-24 00:00:00-04:00,57.359609676283746,60.10916324280381,56.85969151927787,59.912593841552734,287531200,0.0,0.0
2020-03-25 00:00:00-04:00,60.851767993758266,62.67186075528643,59.28648895944169,59.582557678222656,303602000,0.0,0.0
2020-03-26 00:00:00-04:00,59.82524536167027,62.77622003802829,59.786415821760485,62.717979431152344,252087200,0.0,0.0
2020-03-27 00:00:00-04:00,61.33712415208677,62.09428153233142,59.95385443702902,60.12130355834961,204216800,0.0,0.0
2020-03-30 00:00:00-04:00,60.84933827038797,62.0093436795025,60.52414557218957,61.837039947509766,167976400,0.0,0.0
2020-03-31 00:00:00-04:00,62.0287624061651,63.700817094858024,61.15511640489983,61.71084976196289,197002000,0.0,0.0
2020-04-01 00:00:00-04:00,59.82038104472191,60.35912878890937,58.031837774101646,58.46380615234375,176218400,0.0,0.0
2020-04-02 00:00:00-04:00,58.32547341461665,59.49275888105111,57.49065701285396,59.439369201660156,165934000,0.0,0.0
2020-04-03 00:00:00-04:00,58.9224639013772,59.626231543601605,57.99300285608874,58.585140228271484,129880000,0.0,0.0
2020-04-06 00:00:00-04:00,60.88815209400792,63.85126024414228,60.51928272574537,63.69594955444336,201820400,0.0,0.0
2020-04-07 00:00:00-04:00,65.71746500197477,65.93588200935402,62.85385599250536,62.95820617675781,202887200,0.0,0.0
2020-04-08 00:00:00-04:00,63.76147775323179,64.88508270225176,63.395037501230945,64.5696029663086,168895200,0.0,0.0
2020-04-09 00:00:00-04:00,65.20786042767898,65.54032952455171,64.2371442763535,65.03555297851562,161834800,0.0,0.0
2020-04-13 00:00:00-04:00,65.11321477612952,66.42125839971293,64.51136807094039,66.31204986572266,131022800,0.0,0.0
2020-04-14 00:00:00-04:00,67.9501340306998,69.95223619410436,67.47690692059525,69.66101837158203,194994800,0.0,0.0
2020-04-15 00:00:00-04:00,68.53255414367216,69.48628092008256,68.10301494206142,69.02519226074219,131154400,0.0,0.0
2020-04-16 00:00:00-04:00,69.74110330393147,69.94010189303526,68.52042803590564,69.57365417480469,157125200,0.0,0.0
2020-04-17 00:00:00-04:00,69.08829031254295,69.63674726381512,67.1881094519009,68.62962341308594,215250000,0.0,0.0
2020-04-20 00:00:00-04:00,67.45265367496387,68.35784190926253,67.18570520408012,67.20511627197266,130015200,0.0,0.0
2020-04-21 00:00:00-04:00,67.0473614677832,67.28276042085989,64.41429253639382,65.12776947021484,180991600,0.0,0.0
2020-04-22 00:00:00-04:00,66.39939402555568,67.44048895263322,66.05722317141493,67.00366973876953,116862400,0.0,0.0
2020-04-23 00:00:00-04:00,66.94785276175145,68.37480642869768,66.7051737682157,66.74400329589844,124814400,0.0,0.0
2020-04-24 00:00:00-04:00,67.27061293971914,68.68057715232159,67.22207418369496,68.67086791992188,126161200,0.0,0.0
2020-04-27 00:00:00-04:00,68.38695250061332,69.05189812563647,67.93800218832392,68.71942901611328,117087600,0.0,0.0
2020-04-28 00:00:00-04:00,69.1829514944405,69.36496081135085,67.51332558167111,67.60553741455078,112004800,0.0,0.0
2020-04-29 00:00:00-04:00,69.0980050622793,70.29684010085327,68.89415555935265,69.82604217529297,137280800,0.0,0.0
2020-04-30 00:00:00-04:00,70.36720857906009,71.47625350962926,69.97649890054853,71.2990951538086,183064000,0.0,0.0
2020-05-01 00:00:00-04:00,69.46688076275679,72.56103877053023,69.36981062017894,70.15123748779297,240616800,0.0,0.0
2020-05-04 00:00:00-04:00,70.17548910786692,71.27239551263796,69.48385248239573,71.1437759399414,133568000,0.0,0.0
2020-05-05 00:00:00-04:00,71.60485804116813,73.04637175058454,71.45924917442386,72.21155548095703,147751200,0.0,0.0
2020-05-06 00:00:00-04:00,72.9153300566067,73.58997737842726,72.52947133643356,72.95658874511719,142333600,0.0,0.0
2020-05-07 00:00:00-04:00,73.58513616899319,74.05836324243135,73.28178737986006,73.7113265991211,115215200,0.0,0.0
2020-05-08 00:00:00-04:00,74.37321360469922,75.51932400836401,74.04470854157813,75.46578979492188,133838400,0.205,0.0
2020-05-11 00:00:00-04:00,74.97179952522458,77.14965158521665,74.76252676945559,76.65325164794922,145946400,0.0,0.0
2020-05-12 00:00:00-04:00,77.33946490194451,77.79207364909227,75.65558421726155,75.77725219726562,162301200,0.0,0.0
2020-05-13 00:00:00-04:00,75.95730873840742,76.88198972405412,73.78188493945902,74.86229705810547,200622400,0.0,0.0
2020-05-14 00:00:00-04:00,74.09823268490378,75.38304620688119,73.37308887883164,75.32221221923828,158929200,0.0,0.0
2020-05-15 00:00:00-04:00,73.085943325568,74.92312650763014,73.05187273308422,74.87689208984375,166348400,0.0,0.0
2020-05-18 00:00:00-04:00,76.20553196590271,77.01583751017019,75.51202293913698,76.64109802246094,135178400,0.0,0.0
2020-05-19 00:00:00-04:00,76.65812036126512,77.50736040977804,76.16658443916718,76.1982192993164,101729600,0.0,0.0
2020-05-20 00:00:00-04:00,77.05961137211806,77.7506844400657,77.0206767368224,77.68012237548828,111504800,0.0,0.0
2020-05-21 00:00:00-04:00,77.54143540411926,78.08407725078851,76.86252601832638,77.10099792480469,102688800,0.0,0.0
2020-05-22 00:00:00-04:00,76.83818252513326,77.68013017413679,76.73598559499173,77.59739685058594,81803200,0.0,0.0
2020-05-26 00:00:00-04:00,78.71917419280368,78.89924040659268,77.01582266467501,77.07179260253906,125522000,0.0,0.0
2020-05-27 00:00:00-04:00,76.92824326203885,77.55361111108796,76.18606403867054,77.40760803222656,112945200,0.0,0.0
2020-05-28 00:00:00-04:00,77.08154855382563,78.70460307829444,76.80414935194091,77.44168853759766,133560800,0.0,0.0
2020-05-29 00:00:00-04:00,77.68500333141107,78.14734015890691,77.00852967618476,77.3662338256836,153532400,0.0,0.0
2020-06-01 00:00:00-04:00,77.32000896800524,78.43935598036309,77.18860545726987,78.31768798828125,80791200,0.0,0.0
2020-06-02 00:00:00-04:00,78.05000523231972,78.70457952577789,77.6071320252172,78.68024444580078,87642800,0.0,0.0
2020-06-03 00:00:00-04:00,79.00146321507341,79.37620271806179,78.42718641851751,79.11339569091797,104491200,0.0,0.0
2020-06-04 00:00:00-04:00,78.93575985874213,79.23505835292487,78.05731313453714,78.43205261230469,87560400,0.0,0.0
2020-06-05 00:00:00-04:00,78.68268407951567,80.72670465644849,78.65348495250613,80.6658706665039,137250400,0.0,0.0
2020-06-08 00:00:00-04:00,80.36167798797216,81.17685470787667,79.64870560971856,81.14278411865234,95654400,0.0,0.0
2020-06-09 00:00:00-04:00,80.82159908143493,84.09932691847067,80.78996422247816,83.70512390136719,147712400,0.0,0.0
2020-06-10 00:00:00-04:00,84.65658514258793,86.32830212094579,84.21614761710595,85.8586654663086,166651600,0.0,0.0
